fecha,hora,parametro,value
2023-11-18,18:17,power_2,10.005137
2023-11-18,19:17,power_2,10.232269
2023-11-18,20:17,power_2,10.139733
2023-11-18,21:17,power_2,10.271095
2023-11-18,22:17,power_2,9.982488
2023-11-18,23:17,power_2,10.041698
2023-11-19,00:17,power_2,10.012255
2023-11-19,01:17,power_2,9.830096
2023-11-19,02:17,power_2,13.811702
2023-11-19,03:17,power_2,13.264256
2023-11-19,04:17,power_2,13.34579
2023-11-19,05:17,power_2,13.211517
2023-11-19,06:17,power_2,13.313435
2023-11-19,07:17,power_2,9.861804
2023-11-19,08:17,power_2,10.295361
2023-11-19,09:17,power_2,10.20412
2023-11-19,10:17,power_2,10.521522
2023-11-19,11:17,power_2,10.512463
2023-11-19,12:17,power_2,10.299891
2023-11-19,13:17,power_2,10.676826
2023-11-19,14:17,power_2,10.4484
2023-11-19,15:17,power_2,10.270448
2023-11-19,16:17,power_2,10.332246
2023-11-19,17:17,power_2,10.282743
2023-11-19,18:17,power_2,10.181148
2023-11-19,19:17,power_2,10.232916
2023-11-19,20:17,power_2,10.409574
2023-11-19,21:17,power_2,10.262682
2023-11-19,22:17,power_2,10.144263
2023-11-19,23:17,power_2,10.293743
2023-11-20,00:17,power_2,9.985077
2023-11-20,01:17,power_2,10.026167
2023-11-20,02:17,power_2,13.388499
2023-11-20,03:17,power_2,13.527302
2023-11-20,04:17,power_2,13.414383
2023-11-20,05:17,power_2,13.520507
2023-11-20,06:17,power_2,9.849186
2023-11-20,07:17,power_2,9.982165
2023-11-20,08:17,power_2,10.285655
2023-11-20,09:17,power_2,10.21965
2023-11-20,10:17,power_2,10.389191
2023-11-20,11:17,power_2,10.450341
2023-11-20,12:17,power_2,10.449371
2023-11-20,13:17,power_2,10.546112
2023-11-20,14:17,power_2,10.31801
2023-11-20,15:17,power_2,10.28339
2023-11-20,16:17,power_2,10.134557
2023-11-20,17:17,power_2,10.13941
2023-11-20,18:17,power_2,10.158823
2023-11-20,19:17,power_2,10.185354
2023-11-20,20:17,power_2,10.109643
2023-11-20,21:17,power_2,10.088289
2023-11-20,22:17,power_2,10.085377
2023-11-20,23:17,power_2,9.858568
2023-11-21,00:17,power_2,9.971811
2023-11-21,23:24,power_2,9.98993
2023-11-22,00:24,power_2,10.027138
2023-11-22,01:24,power_2,12.08071
2023-11-22,02:24,power_2,13.445767
2023-11-22,03:24,power_2,111.0841
2023-11-22,04:24,power_2,123.72455
2023-11-22,05:24,power_2,14.219375
2023-11-22,06:24,power_2,10.565202
2023-11-22,07:24,power_2,10.753831
2023-11-22,08:24,power_2,10.545789
2023-11-22,09:24,power_2,10.675209
2023-11-22,10:24,power_2,10.865456
2023-11-22,11:24,power_2,10.880339
2023-11-22,12:24,power_2,11.091294
2023-11-22,13:24,power_2,10.908165
2023-11-22,14:24,power_2,10.87678
2023-11-22,15:24,power_2,10.531876
2023-11-22,16:24,power_2,50.633633
2023-11-22,17:24,power_2,49.147892
2023-11-22,18:24,power_2,78.02279
2023-11-22,19:24,power_2,93.54607
2023-11-22,20:24,power_2,57.88342
2023-11-22,21:24,power_2,46.899544
2023-11-22,22:24,power_2,82.47613
2023-11-22,23:24,power_2,10.6325
2023-11-23,00:24,power_2,10.641883
2023-11-23,01:24,power_2,73.566536
2023-11-23,02:24,power_2,119.06025
2023-11-23,03:24,power_2,75.363205
2023-11-23,04:24,power_2,75.240585
2023-11-23,05:24,power_2,77.1505
2023-11-23,06:24,power_2,14.26176
2023-11-23,07:24,power_2,10.742831
2023-11-23,08:24,power_2,10.505345
2023-11-23,09:24,power_2,10.74186
2023-11-23,10:24,power_2,10.888428
2023-11-23,11:24,power_2,11.030467
2023-11-23,12:24,power_2,10.998435
2023-11-23,13:24,power_2,10.802364
2023-10-29,00:24,power_2,2.584517
2023-10-29,01:24,power_2,2.441508
2023-10-29,02:12,power_2,2.966953
2023-10-29,02:42,power_2,2.470304
2023-10-29,03:24,power_2,2.481629
2023-10-29,04:24,power_2,2.252232
2023-10-29,05:24,power_2,2.233466
2023-10-29,06:24,power_2,2.367092
2023-10-29,07:24,power_2,2.536632
2023-10-29,08:24,power_2,1.55757
2023-10-29,09:24,power_2,1.609985
2023-10-29,10:24,power_2,1.694755
2023-10-29,11:24,power_2,1.617103
2023-10-29,12:24,power_2,1.605779
2023-10-29,13:24,power_2,1.713844
2023-10-29,14:24,power_2,1.509037
2023-10-29,15:24,power_2,1.502243
2023-10-29,16:24,power_2,1.386088
2023-10-29,17:24,power_2,1.567923
2023-10-29,18:24,power_2,1.426532
2023-10-29,19:24,power_2,1.593484
2023-10-29,20:24,power_2,1.532009
2023-10-29,21:24,power_2,1.543657
2023-10-29,22:24,power_2,1.544951
2023-10-29,23:24,power_2,1.486065
2023-10-30,00:24,power_2,1.718374
2023-10-30,01:24,power_2,2.41983
2023-10-30,02:24,power_2,2.241878
2023-10-30,03:24,power_2,2.255143
2023-10-30,04:24,power_2,2.317265
2023-10-30,05:24,power_2,2.185904
2023-10-30,06:24,power_2,2.499424
2023-10-30,07:24,power_2,1.525215
2023-10-30,08:24,power_2,1.524568
2023-10-30,09:24,power_2,1.574718
2023-10-30,10:24,power_2,1.619044
2023-10-30,11:24,power_2,1.710285
2023-10-30,12:24,power_2,1.638134
2023-10-30,13:24,power_2,1.785349
2023-10-30,14:24,power_2,1.488654
2023-10-30,15:24,power_2,1.451445
2023-10-30,16:24,power_2,1.425561
2023-10-30,17:24,power_2,1.320731
2023-10-30,18:24,power_2,1.4838
2023-10-30,19:24,power_2,1.539127
2023-10-30,20:24,power_2,1.510979
2023-10-30,21:24,power_2,1.659812
2023-10-30,22:24,power_2,1.580218
